sanity_id,slug,title,current_category,current_root,proposed_category,reason,es_id,ja_id,phase1_flag,has_open_draft
wp-post-115042-en,siwas-historical-landmarks,Siwa Oasis Historical Landmarks,Creative (creative),Destination (destination),(n/a: leaves the blog),redirected in Phase 1,wp-post-144349-es,wp-post-169934-ja,retired-phase1 (Task 3),
wp-post-153153-en,souq-bab-el-louk-cairos-fresh-market,Souq Bab el-Louk,Culture (culture),Destination (destination),Cairo & the Cities (cairo-and-the-cities),Cairo market,wp-post-155036-es,wp-post-167178-ja,,
wp-post-213993-en,sphinxes-and-obelisks,Sphinxes and Obelisks,Tours (tours),Destination (destination),History & Egyptology (history-and-egyptology),Egyptology,wp-post-249177-es,wp-post-238963-ja,,
wp-post-166926-en,stunning-road-tours-across-egypt-that-american-travelers-will-love,Road Tours Across Egypt,Tips & Tricks (tips-tricks),Planning (planning),Planning & Itineraries (planning-and-itineraries),trip format,wp-post-249397-es,wp-post-170620-ja,,
wp-post-216364-en,temples-tombs-and-the-queens,The Queens of Ancient Egypt,Tours (tours),Destination (destination),History & Egyptology (history-and-egyptology),queens,wp-post-249200-es,wp-post-249220-ja,,
wp-post-235225-en,the-1922-discovery-of-tutankhamuns-tomb-why-it-matters-the-ultimate-guide,The 1922 Discovery of Tutankhamun's Tomb,History (history),Destination (destination),(n/a: leaves the blog),redirected in Phase 1,wp-post-236211-es,wp-post-238800-ja,retired-phase1 (Task 9),
wp-post-136572-en,the-best-12-day-egypt-travel-itinerary,A 12-Day Egypt Itinerary,Things to Do (things-to-do),Destination (destination),Planning & Itineraries (planning-and-itineraries),itinerary,wp-post-144450-es,wp-post-249606-ja,,
wp-post-136112-en,the-best-egypt-travel-itineraries,Egypt Travel Itineraries by Day Count,Tips & Tricks (tips-tricks),Planning (planning),Planning & Itineraries (planning-and-itineraries),itineraries by day count,wp-post-144449-es,wp-post-249691-ja,,
wp-post-131117-en,the-copts-of-egypt-guardians-of-an-ancient-faith,The Copts of Egypt,History (history),Destination (destination),Culture & Food (culture-and-food),living religious community,wp-post-144414-es,wp-post-249618-ja,,
wp-post-243401-en,the-curse-of-king-tuts-tomb,The Curse of King Tut's Tomb,Pharaoh Monuments (pharaoh-monuments),Destination (destination),History & Egyptology (history-and-egyptology),Tutankhamun,wp-post-244791-es,wp-post-246552-ja,,
wp-post-97294-en,the-definitive-guide-to-egypt-nile-cruise,The Definitive Guide to Egypt's Nile Cruise,Nile Cruise (nile-cruise),Destination (destination),The Nile (the-nile),Nile cruise cornerstone,wp-post-144338-es,wp-post-164256-ja,,yes
wp-post-130683-en,the-evolution-of-food-in-egypt,The Evolution of Egyptian Food,Culture (culture),Destination (destination),Culture & Food (culture-and-food),food history,wp-post-144417-es,wp-post-178089-ja,,
wp-post-216669-en,the-grand-egyptian-museum,The Grand Egyptian Museum,Tours (tours),Destination (destination),Sites & Monuments (sites-and-monuments),museum (Task 1 target),wp-post-249194-es,wp-post-249210-ja,,yes
wp-post-131153-en,the-grand-egyptian-museum-2024-insider-guide,A Visit Guide to the Grand Egyptian Museum,Culture (culture),Destination (destination),(n/a: leaves the blog),redirected in Phase 1,wp-post-144420-es,wp-post-178100-ja,retired-phase1 (Task 1),
wp-post-1460-en,the-luxurious-egyptian-vacation,A Luxurious Egyptian Vacation,Luxury Stay (luxury-stay),Destination (destination),(n/a: leaves the blog),leaves Travel2Egypt,wp-post-144319-es,wp-post-161810-ja,moves-to-sillage (Task 12),
wp-post-133840-en,the-pyramids-of-egypt,The Pyramids of Egypt,Pharaoh Monuments (pharaoh-monuments),Destination (destination),Sites & Monuments (sites-and-monuments),pyramid fields,wp-post-144426-es,wp-post-170232-ja,,
wp-post-205345-en,the-story-of-bab-zuweila,Bab Zuweila,Islamic Monuments (islamic-monuments),Destination (destination),Cairo & the Cities (cairo-and-the-cities),Islamic Cairo monument,wp-post-249446-es,wp-post-249292-ja,,
wp-post-235766-en,the-story-of-king-tutankhamun-tomb,Tutankhamun's Tomb,History (history),Destination (destination),History & Egyptology (history-and-egyptology),Tutankhamun (Task 9 target),wp-post-236110-es,wp-post-238735-ja,,yes
wp-post-52003-en,the-western-desert-in-egypt,Egypt's Western Desert,History (history),Destination (destination),"Desert, Oases & Sinai (desert-oases-and-sinai)",Western Desert,wp-post-144332-es,wp-post-162643-ja,,
wp-post-1493-en,the-worlds-first-labour-strike,One of the Earliest Recorded Labour Strikes,History (history),Destination (destination),History & Egyptology (history-and-egyptology),Deir el-Medina history,wp-post-144318-es,wp-post-161895-ja,,
wp-post-112208-en,tips-for-first-time-family-visitors-to-egypt,Before a First Family Trip to Egypt,Tours (tours),Destination (destination),Planning & Itineraries (planning-and-itineraries),family trip planning,wp-post-144352-es,wp-post-167137-ja,,
wp-post-132479-en,top-adventures-things-to-do-in-sharm-el-sheikh,Things to Do in Sharm el-Sheikh,Adventure (adventure),Destination (destination),(n/a: leaves the blog),redirected in Phase 1,wp-post-144425-es,wp-post-170243-ja,retired-phase1 (Task 16),
wp-post-133058-en,top-things-to-do-in-luxor-egypt,Places to See and How to Spend Time in Luxor,Places in Egypt (places-in-egypt),Destination (destination),(n/a: leaves the blog),redirected in Phase 1,wp-post-144455-es,wp-post-170277-ja,retired-phase1 (Task 16),
article.total-solar-eclipse-egypt-2027-en,total-solar-eclipse-egypt-2027,The 2027 Total Solar Eclipse: Six Minutes of Night Over Luxor,Destination Depth (destination-depth),Destination (destination),Planning & Itineraries (planning-and-itineraries),timing a trip around a dated event,article.total-solar-eclipse-egypt-2027-es,article.total-solar-eclipse-egypt-2027-ja,,
wp-post-1409-en,touring-egypt,For First-Time Travellers to Egypt,Culture (culture),Destination (destination),(n/a: leaves the blog),redirected in Phase 1,wp-post-144315-es,wp-post-209531-ja,retired-phase1 (Task 14),
wp-post-100615-en,travel-agency-in-egypt,Choosing a Travel Agency in Egypt,Hotels (hotels),Destination (destination),Planning & Itineraries (planning-and-itineraries),choosing who plans the trip,wp-post-144325-es,wp-post-164352-ja,,
wp-post-135096-en,travel-packages-from-the-usa-to-egypt,Choosing an Egypt Travel Package from the USA,Tips & Tricks (tips-tricks),Planning (planning),(n/a: leaves the blog),redirected in Phase 1,wp-post-144452-es,wp-post-170610-ja,retired-phase1 (Task 15),
wp-post-134632-en,traveling-to-egypt-in-august,What to Know About August Egypt Travel,Tours (tours),Destination (destination),Planning & Itineraries (planning-and-itineraries),when to go,wp-post-144429-es,wp-post-249589-ja,,
wp-post-56116-en,traveling-to-egypt-in-the-time-of-coronavirus,What to Know About Post-Pandemic Egypt Travel,Culture (culture),Destination (destination),(n/a: leaves the blog),redirected in Phase 1,wp-post-144335-es,wp-post-161800-ja,retired-phase1 (Task 6),
wp-post-112670-en,types-of-dahabiya-boats,Types of Dahabiyas and How to Choose,Tours (tours),Destination (destination),The Nile (the-nile),dahabiya,wp-post-144358-es,wp-post-167128-ja,,
wp-post-213991-en,understanding-egyptian-hieroglyphs,Understanding Egyptian Hieroglyphs,Creative (creative),Destination (destination),History & Egyptology (history-and-egyptology),Egyptology,wp-post-249167-es,wp-post-238943-ja,,
wp-post-1425-en,vacation-in-egypt,Spending a Vacation in Egypt,Things to Do (things-to-do),Destination (destination),(n/a: leaves the blog),redirected in Phase 1,wp-post-144328-es,wp-post-162340-ja,retired-phase1 (Task 14),
wp-post-134663-en,visiting-egypt-in-july,Visiting Egypt in July,Egypt Travel Guide (egypt-travel-guide),Planning (planning),Planning & Itineraries (planning-and-itineraries),when to go,wp-post-144431-es,wp-post-178187-ja,,
wp-post-153699-en,wadi-feiran,"Wadi Feiran: Water, Faith, and Pilgrim Memory in a Sinai Valley",Adventure (adventure),Destination (destination),"Desert, Oases & Sinai (desert-oases-and-sinai)",Sinai,wp-post-249391-es,wp-post-167143-ja,,
wp-post-235270-en,was-king-tut-buried-in-a-pyramid,Was Tutankhamun Buried in a Pyramid?,History (history),Destination (destination),History & Egyptology (history-and-egyptology),Tutankhamun,wp-post-236063-es,wp-post-238645-ja,,
wp-post-205621-en,wellness-and-medical-tourism-in-egypt,Thinking About Wellness and Medical Tourism in Egypt,Tips & Tricks (tips-tricks),Planning (planning),Practical Egypt (practical-egypt),health and wellbeing on the trip,wp-post-249343-es,wp-post-206010-ja,,
wp-post-132488-en,what-is-included-in-nile-cruise-packages,What's Included in a Nile Cruise Package,Nile Cruise (nile-cruise),Destination (destination),The Nile (the-nile),cruise planning,wp-post-144402-es,wp-post-170298-ja,,
wp-post-235673-en,where-is-tutankhamun-now,Where Is Tutankhamun Now?,Pharaoh Monuments (pharaoh-monuments),Destination (destination),History & Egyptology (history-and-egyptology),Tutankhamun,wp-post-236149-es,wp-post-238786-ja,,
wp-post-134691-en,why-january-is-the-perfect-month-to-visit-egypt,What to Know if You're Visiting Egypt in January,Egypt Travel Guide (egypt-travel-guide),Planning (planning),Planning & Itineraries (planning-and-itineraries),when to go,wp-post-144437-es,wp-post-249578-ja,,
wp-post-134733-en,why-you-should-visit-egypt-in-april,What to Know if You're Visiting Egypt in April,Egypt Travel Guide (egypt-travel-guide),Planning (planning),Planning & Itineraries (planning-and-itineraries),when to go,wp-post-144421-es,wp-post-249541-ja,,
wp-post-257609-en,wonders-of-egypt-in-march-a-spring-adventure,Wonders of Egypt in March: A Spring Adventure,Culture (culture),Destination (destination),Planning & Itineraries (planning-and-itineraries),when to go (EN doc body is Spanish),wp-post-144441-es,wp-post-257611-ja,,
