citySlug,field,en,es,ja
edfu,caption,"Edfu is met at nine in the morning off a boat, which is exactly right: the temple’s courts hold the heat by noon, and the horse carriages know it.","Edfu se visita a las nueve de la mañana al bajar del barco, y es justo lo correcto: los patios del templo retienen el calor hacia el mediodía, y los carruajes de caballos lo saben bien.",エドフは船を降りた朝9時に訪れるのが正解だ——神殿の中庭は正午までに熱がこもるようになり、それは馬車の御者たちが一番よく知っている。
edfu,seasonLabel,THE SEASON — OCTOBER TO APRIL,LA TEMPORADA — DE OCTUBRE A ABRIL,ベストシーズン — 10月〜4月
esna,descriptors,Lock-town light · Dry heat · Cool river evenings,La luz de la ciudad de la esclusa · Calor seco · Tardes frescas junto al río,水門の街の光 · 乾いた暑さ · 涼しい川辺の夕べ
esna,gapText,16° between noon and midnight,16° entre el mediodía y la medianoche,正午から真夜中まで16℃差
esna,troughText,8° — January nights,8° — noches de enero,8℃ — 1月の夜
esna,caption,"Esna happens while the boats queue for the lock — a morning temple with a restored ceiling worth every waiting minute, in a climate that says go before lunch.","Esna sucede mientras los barcos hacen cola para la esclusa — un templo matutino con un techo restaurado que merece cada minuto de espera, en un clima que aconseja ir antes del almuerzo.",エスナは船が水門の順番待ちをしている間に訪れる街だ——修復された天井を持つ朝の神殿は、待ち時間に見合う価値がある。そしてこの気候は、昼食前に行けと教えてくれる。
esna,seasonLabel,THE SEASON — OCTOBER TO APRIL,LA TEMPORADA — DE OCTUBRE A ABRIL,ベストシーズン — 10月〜4月
kom-ombo,descriptors,Riverbank temple · Dry heat · Sunset calls,Templo a orillas del río · Calor seco · Citas con el atardecer,川岸の神殿 · 乾いた暑さ · 夕暮れの呼び声
kom-ombo,gapText,16° between noon and midnight,16° entre el mediodía y la medianoche,正午から真夜中まで16℃差
kom-ombo,troughText,9° — January nights,9° — noches de enero,9℃ — 1月の夜
kom-ombo,caption,"The one temple the boats visit at golden hour — Kom Ombo at sunset is the cruise's best-lit appointment, and the evening air off the river is the reward for the day's heat.","El único templo que los barcos visitan a la hora dorada — Kom Ombo al atardecer es la cita mejor iluminada del crucero, y el aire vespertino del río es la recompensa al calor del día.",船がゴールデンアワーに訪れる唯一の神殿——夕暮れのコム・オンボはクルーズの中で最も美しく照らされる瞬間であり、川から吹く夜の空気は、一日の暑さに対する何よりの褒美となる。
kom-ombo,seasonLabel,THE SEASON — OCTOBER TO APRIL,LA TEMPORADA — DE OCTUBRE A ABRIL,ベストシーズン — 10月〜4月
luxor,descriptors,The largest open-air site on earth · Dry heat · Tomb-warm afternoons,El mayor yacimiento al aire libre del planeta · Calor seco · Tardes cálidas en las tumbas,地球最大の野外遺跡 · 乾いた暑さ · 墓室が温まる午後
luxor,gapText,17° between noon and midnight,17° entre el mediodía y la medianoche,正午から真夜中まで17℃差
luxor,troughText,7° — January nights,7° — noches de enero,7℃ — 1月の夜
luxor,caption,"Luxor's weather writes the itinerary: West Bank tombs at eight, Karnak before noon, felucca at five — from May to September that order isn't advice, it's survival.","El clima de Luxor escribe el itinerario: las tumbas de la Orilla Occidental a las ocho, Karnak antes del mediodía, felucca a las cinco — de mayo a septiembre, ese orden no es un consejo, es supervivencia.",ルクソールの気候が旅程そのものを決めてしまう——西岸の墓群は8時、カルナックは正午前、ファルーカ(帆船)は5時。5月から9月にかけて、この順番は単なるアドバイスではなく、生き延びるための鉄則だ。
luxor,seasonLabel,THE SEASON — OCTOBER TO APRIL,LA TEMPORADA — DE OCTUBRE A ABRIL,ベストシーズン — 10月〜4月
qena,descriptors,Dry heat · Clear skies · Cool nights · Almost no rain,Calor seco · Cielos despejados · Noches frescas · Casi sin lluvia,乾いた暑さ · 澄んだ空 · 涼しい夜 · ほとんど雨が降らない
qena,gapText,17° between noon and midnight,17° entre el mediodía y la medianoche,正午から真夜中まで17℃差
qena,troughText,6° — January nights,6° — noches de enero,6℃ — 1月の夜
qena,caption,"Qena’s climate is not complicated. It is honest: rainless, bright, and seventeen degrees cooler every night than the afternoon that preceded it — the season decision here is heat, nothing else.","El clima de Qena no es complicado. Es honesto: sin lluvias, luminoso, y diecisiete grados más fresco cada noche que la tarde que la precedió — aquí la decisión de la temporada es el calor, y nada más.",ケナの気候は複雑ではない。ただ正直なだけだ——雨は降らず、明るく、そして夜はその日の午後より17度も涼しくなる。ここで季節を決めるのは暑さ、それだけだ。
qena,seasonLabel,THE SEASON — OCTOBER TO APRIL,LA TEMPORADA — DE OCTUBRE A ABRIL,ベストシーズン — 10月〜4月
sohag,descriptors,Abydos country · Dry and bright · Cold winter dawns,Tierra de Abidos · Seco y luminoso · Amaneceres invernales fríos,アビドスの地 · 乾燥して明るい · 冷え込む冬の夜明け
sohag,gapText,16° between noon and midnight,16° entre el mediodía y la medianoche,正午から真夜中まで16℃差
sohag,troughText,5° — January dawns,5° — amaneceres de enero,5℃ — 1月の夜明け
sohag,caption,"The base for Abydos and the White Monastery, and a winter-morning proposition: clear, cool early, hot by two — time the carving for the low light.","La base para Abidos y el Monasterio Blanco, y una propuesta de mañana de invierno: despejado, fresco temprano, caluroso hacia las dos — programa las tallas para la luz rasante.",アビドスと白の修道院を訪れる拠点であり、冬の朝にふさわしい提案がある——澄んだ空、早朝は涼しく、午後2時には暑くなる。彫刻を鑑賞するなら、斜めから差す柔らかな光の時間帯に合わせよう。
sohag,seasonLabel,THE SEASON — OCTOBER TO APRIL,LA TEMPORADA — DE OCTUBRE A ABRIL,ベストシーズン — 10月〜4月
bahariya-oasis,descriptors,Oasis springs · Deep-desert nights · Gateway to the chalk,Manantiales de oasis · Noches de desierto profundo · Puerta de entrada a la caliza,オアシスの温泉 · 深い砂漠の夜 · 白亜の大地への玄関口
bahariya-oasis,gapText,18° — the desert swing,18° — la oscilación del desierto,18℃ — 砂漠特有の寒暖差
bahariya-oasis,troughText,3° — winter nights near freezing,3° — noches de invierno cercanas a la congelación,3℃ — 氷点近くまで下がる冬の夜
bahariya-oasis,caption,"Bahariya's weather matters most after dark: the springs stay warm, the desert doesn't — December camp nights in the White Desert beyond touch zero, and that is part of the point.","El clima de Bahariya importa sobre todo después de que oscurece: los manantiales siguen cálidos, el desierto no — las noches de acampada de diciembre en el Desierto Blanco rozan el cero, y eso forma parte de la experiencia.",バハレイヤの気候が本領を発揮するのは日が沈んだ後だ——温泉は温かいままだが、砂漠はそうはいかない。12月に白砂漠でキャンプすれば夜は氷点近くまで下がるが、それもまた醍醐味の一つだ。
bahariya-oasis,seasonLabel,THE SEASON — OCTOBER TO APRIL,LA TEMPORADA — DE OCTUBRE A ABRIL,ベストシーズン — 10月〜4月
baris,descriptors,The deep south of the oases · Fierce summers · Winter stillness,El extremo sur de los oasis · Veranos feroces · Quietud invernal,オアシス地帯最南の地 · 猛烈な夏 · 静寂の冬
baris,gapText,18° — the deep-desert swing,18° — la oscilación del desierto profundo,18℃ — 深い砂漠特有の寒暖差
baris,troughText,5° — January nights,5° — noches de enero,5℃ — 1月の夜
baris,caption,"The last oasis before the sand takes over entirely: summers here are the hottest in the New Valley, winters are still and flawless, and the old caravan roads explain themselves.","El último oasis antes de que la arena lo domine todo: los veranos aquí son los más calurosos del Nuevo Valle, los inviernos son quietos e impecables, y las antiguas rutas de caravanas se explican por sí solas.",砂がすべてを覆い尽くす前の最後のオアシス——夏はニューバレー県で最も暑く、冬は静かで申し分ない。古いキャラバンルートが、その理由を物語っている。
baris,seasonLabel,THE SEASON — OCTOBER TO MARCH,LA TEMPORADA — DE OCTUBRE A MARZO,ベストシーズン — 10月〜3月
dakhla-oasis,descriptors,Pink cliffs · Mud-brick shade · Deep-desert dry,Acantilados rosados · Sombra de adobe · Sequedad de desierto profundo,ピンク色の断崖 · 日干しレンガの日陰 · 深い砂漠の乾燥
dakhla-oasis,gapText,18° — the desert swing,18° — la oscilación del desierto,18℃ — 砂漠特有の寒暖差
dakhla-oasis,troughText,4° — winter nights,4° — noches de invierno,4℃ — 冬の夜
dakhla-oasis,caption,"Dakhla is built for its own climate: Al Qasr’s covered lanes were medieval air conditioning, and they still work — winter days are flawless, winter nights want the fire lit.","Dakhla está construida para su propio clima: los pasadizos cubiertos de Al Qasr eran el aire acondicionado medieval, y todavía funcionan — los días de invierno son impecables, las noches de invierno piden encender el fuego.",ダーヒラは、この土地の気候そのもののために築かれた街だ。アル・カスルの屋根付き路地は中世の「空調」であり、今も機能している——冬の日中は申し分なく、冬の夜には暖炉に火を灯したくなる。
dakhla-oasis,seasonLabel,THE SEASON — OCTOBER TO APRIL,LA TEMPORADA — DE OCTUBRE A ABRIL,ベストシーズン — 10月〜4月
farafra-oasis,descriptors,The smallest oasis · The White Desert's doorstep · Freezing camp nights,El oasis más pequeño · La puerta del Desierto Blanco · Noches de acampada bajo cero,最も小さなオアシス · 白砂漠への入り口 · 凍える夜のキャンプ
farafra-oasis,gapText,19° — the widest swing in Egypt,19° — la mayor oscilación de Egipto,19℃ — エジプトで最も大きな寒暖差
farafra-oasis,troughText,2° — desert winter nights,2° — noches de invierno en el desierto,2℃ — 砂漠の冬の夜
farafra-oasis,caption,"Farafra fronts the White Desert, and its climate is the camping brief: flawless winter days, nights that touch freezing among the chalk, and a silence the thermometer can't measure.","Farafra da la cara al Desierto Blanco, y su clima es el resumen de la acampada: días de invierno impecables, noches que rozan la congelación entre la caliza, y un silencio que el termómetro no puede medir.",ファラフラは白砂漠の玄関に位置し、その気候はまさにキャンプの案内書のようなもの——冬の日中は申し分なく、白亜の岩の間で夜は氷点に迫り、そして温度計では測れない静寂がある。
farafra-oasis,seasonLabel,THE SEASON — OCTOBER TO APRIL,LA TEMPORADA — DE OCTUBRE A ABRIL,ベストシーズン — 10月〜4月
kharga-oasis,descriptors,New Valley capital · Rainless · Caravan-road heat,Capital del Nuevo Valle · Sin lluvias · El calor de las rutas de caravanas,ニューバレー県の県都 · 雨が降らない · キャラバン路の熱
kharga-oasis,gapText,18° — the deep-desert swing,18° — la oscilación del desierto profundo,18℃ — 深い砂漠特有の寒暖差
kharga-oasis,troughText,5° — January nights,5° — noches de enero,5℃ — 1月の夜
kharga-oasis,caption,"The New Valley’s capital keeps caravan climate: rainless, huge-skied, fiercely hot by May — the Roman forts along the forty-days road were garrisoned in winter for a reason.","La capital del Nuevo Valle conserva el clima de las caravanas: sin lluvias, de cielos inmensos, y ferozmente calurosa hacia mayo — los fuertes romanos a lo largo de la ruta de los cuarenta días se guarnecían en invierno, y por una buena razón.",ニューバレー県の県都は、今もキャラバン時代さながらの気候を保っている——雨は降らず、空は途方もなく広く、5月には猛烈に暑くなる。「40日の道」沿いのローマ時代の砦が冬に守備隊を置いていたのには理由があったのだ。
kharga-oasis,seasonLabel,THE SEASON — OCTOBER TO APRIL,LA TEMPORADA — DE OCTUBRE A ABRIL,ベストシーズン — 10月〜4月
siwa-oasis,descriptors,Salt lakes · Date-harvest autumns · Berber-built shade,Lagos de sal · Otoños de cosecha de dátiles · Sombra construida por los bereberes,塩湖 · ナツメヤシ収穫の秋 · ベルベル人が築いた日陰
siwa-oasis,gapText,17° between noon and midnight,17° entre el mediodía y la medianoche,正午から真夜中まで17℃差
siwa-oasis,troughText,4° — winter nights,4° — noches de invierno,4℃ — 冬の夜
siwa-oasis,caption,"Siwa's calendar is its own: the date harvest scents October, the salt lakes are swimmable long past summer, and winter nights are cold enough to justify the kershef walls.","El calendario de Siwa es único: la cosecha de dátiles perfuma octubre, los lagos de sal siguen siendo aptos para nadar mucho después del verano, y las noches de invierno son lo bastante frías como para justificar los muros de kershef.",シワ・オアシスのカレンダーはこの土地だけのものだ——10月はナツメヤシの収穫の香りに包まれ、塩湖は夏が終わってもずっと泳げるままで、冬の夜はケルシェフの壁が必要になるほど冷え込む。
siwa-oasis,seasonLabel,THE SEASON — OCTOBER TO APRIL,LA TEMPORADA — DE OCTUBRE A ABRIL,ベストシーズン — 10月〜4月
